search_keyword,video_id,upload_date,username,description,play_count,digg_count,comment_count,video_url
Hamenang,7585412814798425364,2025-12-19 10:55:56,Hamenang Wajar Ismoyo,"Kita cek proses pengerjaan jogging track di Stadion Trikoyo yang sudah menunjukkan kebahagiaan kita bersama. Sudah sampai pada lapisan kedua dan sedang dilapisi rubber. Kita percepat agar dulur-dulur Klaten punya tempat yang propper untuk menyalurkan hobi dan berolahraga. Setelah pekerjaan jogging track selesai, kita akan fikirkan untuk renovasi fasilitas yang lainnya di stadion ini secara bertahap. Mohon dengan sangat, fasilitas yang sudah ada dijaga bareng-bareng agar bisa digunakan oleh siapapun dengan nyaman. Btw jangan lupa, tanggal 22 nanti dipakai tanding perdana oleh PSIK Klaten mohon dukungannya ya Lur.. #hamenang #klaten #klatenkeren #bupatiklaten #stadion ",172600,5346,138,https://www.tiktok.com/@hamenangofficial/video/7585412814798425364
Hamenang,7604372694905179400,2026-02-08 13:09:56,Mas Hamenang,"Beristirahatlah dengan tenang adikku, sahabatku, partnerku, Wakil Bupati Klaten. Damai di surga Allah.. InsyaAllah saya lanjutkan perjuangan kita untuk Kabupaten Klaten. #hamenang #klaten #bupatiklaten #wakilbupatiklaten #klaten24jam ",9400000,296900,3332,https://www.tiktok.com/@mas.hamenang/video/7604372694905179400
Hamenang,7679767170250853639,2026-08-30 17:19:01,Hamenang Wajar Ismoyo,"Mengenalkan Klaten dengan segala potensinya dalam Forum Asia Pasifik, China - Indonesia Dialogue on Local Government Cooperation. Potensi Klaten tidak hanya pariwisata, tapi kita juga mengenalkan potensi pertaniannya. Alhamdulillah banyak yang tertarik pada Klaten, potensi Klaten menjadi harapan baru bagi kemajuan Klaten untuk terus berkolaborasi dengan berbagai investor yang ada. Semoga semangat ini menjadi ikhtiar kami dalam terus membangun Klaten, kolaborasi tersebut diharapkan dapat mendorong investasi yang berdampak langsung terhadap peningkatan kesejahteraan masyarakat. #hamenang #klaten #klaten222 #bupatiklaten #china ",36200,2119,104,https://www.tiktok.com/@hamenangofficial/video/7679767170250853639
Hamenang,7679672529505783048,2026-08-30 11:11:47,Hamenang Wajar Ismoyo,"Nyepeda dan Nyoto Bareng bersama 2.222 masyarakat di Gaden, Trucuk, masih dalam rangka menyemarakkan HUT ke-81 Republik Indonesia.  Ini adalah wujud kebersamaan dan guyub rukun masyarakat yang masih terjaga di berbagai wilayah Klaten. Setelah nyepeda dan nyoto, dilanjutkan dengan penampilan-penampilan kebudayaan dan potensi lokal antar warga. Matur nuwun waktu dan keseruannya nggeh Lur, panjenengan josjis sedanten. Kalau di wilayah panjenengan menyemarakkan kemerdekaan diisi dengan apa Lur? #hamenang #klaten #klaten222 #karnaval #bupatiklaten ",49300,1557,32,https://www.tiktok.com/@hamenangofficial/video/7679672529505783048
Hamenang,7679260054532459783,2026-08-29 08:31:11,Hamenang Wajar Ismoyo,"Saya dan keluarga sudah disensus oleh petugas Sensus Ekonomi Tahun 2026, dengan data dan kondisi terbaru saat ini.  Harapan kami dengan suksesnya Sensus Ekonomi Tahun 2026 ini bisa memotret data riil masyarakat yang berfungsi sebagai data dan dasar dalam mengambil kebijakan ke depan yang lebih tepat sasaran. Monggo yang belum, ketika didatangi oleh petugas sensus jangan takut dan jangan khawatir, agar data yang dipotret bisa sesuai kondisi dan BPS menjamin keamanan data-data pribadi yang diberikan. Mari sukseskan Sensus Ekonomi Tahun 2026. #hamenang #klaten #sensusekonomi2026 #bupatiklaten #klaten24jam ",75400,2178,73,https://www.tiktok.com/@hamenangofficial/video/7679260054532459783
Hamenang,7678914921752513799,2026-08-28 10:11:57,Hamenang Wajar Ismoyo,"Beberapa posisi mengalami pergantian. Bukan sekadar tentang siapa menempati jabatan apa, tetapi tentang bagaimana setiap amanah dijalankan untuk mencapai tujuan yang sama. Jabatan bukan hadiah, jabatan adalah amanah. Kita telah disumpah untuk memberikan pelayanan yang terbaik bagi masyarakat Klaten, hal itu lah yang tidak boleh berhenti. Masyarakat tidak butuh program rutinitas, yang dibutuhkan adalah mampu membaca persoalan, mencari solusi, berani ambil keputusan, dan menghadirkan perubahan yang benar-benar dirasakan masyarakat. Selamat bekerja dan mengabdi untuk masyarakat Klaten. #hamenang #klaten #bupatiklaten #klaten24jam ",28200,800,38,https://www.tiktok.com/@hamenangofficial/video/7678914921752513799
Hamenang,7678655169587924231,2026-08-27 17:23:51,Hamenang Wajar Ismoyo,"Matur nuwun warga Klaten atas antusiasmenya semalam, panjenengan josjis Lur!  #hamenang #ndxaka #klaten #klaten24jam #konser ",181200,16400,516,https://www.tiktok.com/@hamenangofficial/video/7678655169587924231
Hamenang,7678278762600959240,2026-08-26 17:03:11,Hamenang Wajar Ismoyo,"Hadir dan menyaksikan Rapat Paripurna dengan agenda Pemungutan dan Perhitungan Suara Calon Wakil Bupati Klaten sisa masa jabatan Tahun 2025-2030. Hasil dari pemungutan suara ini dijadikan dasar untuk dikirim ke pihak provinsi untuk diteruskan ke pusat dan kita menunggu Surat Keputusan dari Kemendagri. Alhamdulillah kursi wakil bupati sudah terisi dan pemungutan suara berjalan dengan lancar. Bismillah berjalan berdua lagi untuk mempercepat akselerasi menuju Klaten yang semakin maju, sejahtera, dan berkelanjutan. Mohon doanya nggih dulur Klaten. #hamenang #klaten #klaten222 #klaten24jam #bupatiklaten ",65100,2497,45,https://www.tiktok.com/@hamenangofficial/video/7678278762600959240
Hamenang,7677971297283935495,2026-08-25 21:10:05,Hamenang Wajar Ismoyo,"Menjelang tanggal 26 Agustus 2026, Konser Amal bersama @ndxakatv besok, lelang Sepatu Edisi 222 Kabupaten Klaten masih terbuka.  Tidak hanya membeli sepatu, tapi ini harapan kita bersama untuk sebuah nilai kemanusiaan untuk saudara kita. Mari ulurkan tangan bisa dengan ikut lelang sepatu ini atau bisa berdonasi melalui Rekening Bank Jateng dengan nomor 3009381618 atas nama KORPRI KLATEN PEDULI BENCANA. Dari Klaten kita berikan cahaya untuk Indonesia. #hamenang #klaten #klaten222 #aerostreet #klaten24jam ",24700,542,17,https://www.tiktok.com/@hamenangofficial/video/7677971297283935495
Hamenang,7677900442151488776,2026-08-25 16:35:08,Hamenang Wajar Ismoyo,"Alhamdulillah gelaran perdana di Sirkuit Bokong Semar, Kawasan Rowo Jombor, telah berhasil dan menjadi peluang kita untuk menempatkan Klaten sebagai sport tourism.  Setelah race selesai, ikutan nyobain lintasan bersama teman-teman trabaser, ceritanya fun race😅 Usulannya apa Lur event sport yang kita adakan di Klaten? Agar kita banyak kedatangan wisatawan sekaligus mempromosikan Klaten agar tidak hanya menjadi kota lintasan saja. #hamenang #klaten #klaten222 #motocross #klaten24jam ",90500,3130,84,https://www.tiktok.com/@hamenangofficial/video/7677900442151488776
Hamenang,7677556943010925832,2026-08-24 18:22:16,Hamenang Wajar Ismoyo,"Hadir dalam Rapat Paripurna dengan agenda Penyampaian Visi dan Misi Bupati Klaten 2025-2030 untuk mengetahui seberapa dalam pemahaman dua calon wakil bupati tersebut. Penyampaian pemahaman ini yang kemudian akan dijadikan dasar pimpinan dan anggota DPRD Kabupaten Klaten dalam memilih pada paripurna mendatang di 26 Agustus 2026. Bismillah semoga diberi kelancaran sehingga bisa terisi kekosongan wakil bupati untuk segera berakselerasi menuju Klaten yang semakin maju, sejahtera, dan berkelanjutan. #hamenang #klaten #bupatiklaten #klaten24jam #klaten222 ",52000,1594,19,https://www.tiktok.com/@hamenangofficial/video/7677556943010925832
Hamenang,7677472577584909586,2026-08-24 12:54:52,Hamenang Wajar Ismoyo,"Mengawali hari Senin dengan menginformasikan bahwa ruas jalan Manisrenggo-Kadilajo sudah dalam proses pengerjaan, dengan total panjang 7km, saat ini kita beton sepanjang 2,6km dahulu. Mohon maaf mengganggu perjalanan panjenengan, karena sedang pengerjaan dengan sistem satu sisi-satu sisi. Pengerjaan ini dengan menggunakan beton setebal 25cm ya Lur. Ruas jalan ini diperkirakan selesai di bulan November mendatang. Sabar rumiyin ya Lur, bertahap kita benahi satu per satu. #hamenang #klaten #klaten222 #bupatiklaten #klaten24jam ",36600,1217,48,https://www.tiktok.com/@hamenangofficial/video/7677472577584909586
Hamenang,7651054214721948946,2026-06-14 08:18:12,Hamenang Wajar Ismoyo,"Edisi SotoMan kali ini mampir ke Soto Uhuyy, lokasinya ada di dekat Tugu Ikan, Jeblogan. Ternyata sesuai namanya lur, semua serba spontan😅, gorengannya pun disajikan ketika masih panas. Ini tipikal soto kuah bening, dengan berbagai isian yang menurut saya komplit, dan yang paling penting nyegerke Lur. Buat yang mau wisata ke daerah Polanharjo, Ponggok, Janti dkk, sampai ke Tulung, bisa mampir ke Soto Uhuyy🚀 Infokan kuliner rekomendasimu Lur, saya tunggu ya.. Selamat berakhir pekan bersama keluarga🫶🏻 #hamenang #klaten #klatenkeren #bupatiklaten #kulinerklaten ",110800,3551,98,https://www.tiktok.com/@hamenangofficial/video/7651054214721948946
Hamenang,7568443499708714261,2025-11-03 17:26:17,Hamenang Wajar Ismoyo,"Setelah yang bersangkutan dijemput dan kembali ke rumah, kami langsung berkunjung dan mendengarkan informasi dari Mbak Elsa. Pemkab Klaten akan memberikan pendampingan dan memfasilitasi untuk mencari titik temu untuk penyelesaian permasalahan tersebut. #hamenang #bupatiklaten #klaten #klatenkeren #4u ",424100,8161,458,https://www.tiktok.com/@hamenangofficial/video/7568443499708714261
Hamenang,7614794663366561031,2026-03-08 15:12:29,Mas Hamenang,Mas Bupati @Hamenang Wajar Ismoyo langsung berhentikan truk yang lewat di kota dan tidak pada jalurnya. Kejadian ini ditemui ketika Mas Bupati hendak ngabuburide bersama masyarakat. Kalau ada yang menemukan lagi tolong difoto dan dikirimkan ke dm saya/ WA 08567567333 / dishubklaten. #hamenang #klaten #bupatiklaten #klaten24jam #4u ,417900,6874,600,https://www.tiktok.com/@mas.hamenang/video/7614794663366561031
Hamenang,7537186106316508422,2025-08-11 11:51:44,Hamenang Wajar Ismoyo,"Selain sebagai ruang laporan kerja, kita memang menjadikan sosial media sebagai tempat komunikasi dan menyerap aspirasi panjenengan. Kritik, usulan sampai penilaian bisa panjenengan sampaikan di sana.  Maturnuwun kepada sedulur-sedulurku warga Klaten yang terus memantau kerja kami lewat sosial media. Semoga cara ini membuat kemajuan daerah kita. #hamenang #klaten #klatenkeren #bupatiklaten #4u ",134000,5729,422,https://www.tiktok.com/@hamenangofficial/video/7537186106316508422
Hamenang,7591344298919169301,2026-01-04 10:33:06,Hamenang Wajar Ismoyo,"Soto Man edisi minggu ini ke Soto Djemangin, di Gaden, Trucuk. Ini salah satu soto legend yang menjadi rekomendasi ketika dulur-dulur melintas di kawasan Trucuk. Mangkoknya spesial, pakai bathok. Fungsinya biar sotonya tetap panas. Rasanya enak, mantap, gurih, isiannya juga komplit. Gorengannya di sini juga ada yang spesial, mana tahan, ini seperti bakwan tapi ada tahunya dan ada cabainya. Gass kan Lur... Ada rekomendasi kuliner lainnya yang harus saya cobain Lur? #hamenang #klaten #klatenkeren #bupatiklaten #4u ",251500,8982,378,https://www.tiktok.com/@hamenangofficial/video/7591344298919169301
